Class,Type,Alt Class,Captured Class,Walk Speed (miles/hr),Run Speed (miles/hr),Uniform 1,Uniform 2,Uniform 3,Uniform 4,Uniform 5,Uniform 6,Walk Sound,Stand Sound,Load Sound,Ram Sound,Fire Sound,Run Sound,Charge Sound,Melee Sound,Prone Sound,Flag Bearer Sprite,GUI,Friendly GUI,Enemy GUI,Fighting Formation,Walk Formation
,,UGLB_CSA_Inf_GCM_West_Vet_6,6,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,,,,UGLB_CSA_Inf_GCM_West_Vet_6,6,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,,,,,,
,,UGLB_CSA_Inf_GCM_West_Vet_7,7,USPR_CSA_Inf_02_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,,,,UGLB_CSA_Inf_GCM_West_Vet_7,7,USPR_CSA_Inf_02_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,,,,,,
,,UGLB_CSA_Inf_GCM_West_Vet_8,8,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_06_Private,,,,UGLB_CSA_Inf_GCM_West_Vet_8,8,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_06_Private,,,,,,
,,UGLB_CSA_Inf_GCM_West_Vet_9,9,USPR_CSA_Inf_02_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,UGLB_CSA_Inf_GCM_West_Vet_9,9,USPR_CSA_Inf_02_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UGLB_CSA_Inf_GCM_East_0,0,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_Private,,,,UGLB_CSA_Inf_GCM_East_0,0,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_Private,,,,,,
,,UGLB_CSA_Inf_GCM_East_1,1,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_06_Private,,,,UGLB_CSA_Inf_GCM_East_1,1,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_06_Private,,,,,,
,,UGLB_CSA_Inf_GCM_East_2,2,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,UGLB_CSA_Inf_GCM_East_2,2,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,,,
,,UGLB_CSA_Inf_GCM_East_3,3,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,UGLB_CSA_Inf_GCM_East_3,3,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,,,
,,UGLB_CSA_Inf_GCM_East_4,4,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_02_Private,,,,UGLB_CSA_Inf_GCM_East_4,4,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_02_Private,,,,,,
,,UGLB_CSA_Inf_GCM_East_5,5,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_02_Private,,,,UGLB_CSA_Inf_GCM_East_5,5,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_02_Private,,,,,,
,,UGLB_CSA_Inf_GCM_East_6,6,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,,,,UGLB_CSA_Inf_GCM_East_6,6,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,,,,,,
,,UGLB_CSA_Inf_GCM_East_7,7,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,,,,UGLB_CSA_Inf_GCM_East_7,7,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,,,,,,
,,UGLB_CSA_Inf_GCM_East_8,8,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_06_Private,,,,UGLB_CSA_Inf_GCM_East_8,8,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_06_Private,,,,,,
,,UGLB_CSA_Inf_GCM_East_9,9,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,UGLB_CSA_Inf_GCM_East_9,9,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,,,
,,UGLB_CSA_Inf_GCM_East_Vet_0,0,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_Private,,,,UGLB_CSA_Inf_GCM_East_Vet_0,0,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_Private,,,,,,
,,UGLB_CSA_Inf_GCM_East_Vet_1,1,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_06_Private,,,,UGLB_CSA_Inf_GCM_East_Vet_1,1,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_06_Private,,,,,,
,,UGLB_CSA_Inf_GCM_East_Vet_2,2,USPR_CSA_Inf_06_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,UGLB_CSA_Inf_GCM_East_Vet_2,2,USPR_CSA_Inf_06_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,,,
,,UGLB_CSA_Inf_GCM_East_Vet_3,3,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,UGLB_CSA_Inf_GCM_East_Vet_3,3,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,,,
,,UGLB_CSA_Inf_GCM_East_Vet_4,4,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_02_Private,,,,UGLB_CSA_Inf_GCM_East_Vet_4,4,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_02_Private,,,,,,
,,UGLB_CSA_Inf_GCM_East_Vet_5,5,USPR_CSA_Inf_06_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_02_Private,,,,UGLB_CSA_Inf_GCM_East_Vet_5,5,USPR_CSA_Inf_06_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_02_Private,,,,,,
,,UGLB_CSA_Inf_GCM_East_Vet_6,6,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,,,,UGLB_CSA_Inf_GCM_East_Vet_6,6,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,,,,,,
,,UGLB_CSA_Inf_GCM_East_Vet_7,7,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,,,,UGLB_CSA_Inf_GCM_East_Vet_7,7,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,,,,,,
,,UGLB_CSA_Inf_GCM_East_Vet_8,8,USPR_CSA_Inf_06_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_06_Private,,,,UGLB_CSA_Inf_GCM_East_Vet_8,8,USPR_CSA_Inf_06_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_06_Private,,,,,,
,,UGLB_CSA_Inf_GCM_East_Vet_9,9,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,UGLB_CSA_Inf_GCM_East_Vet_9,9,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,gray,,,,,,,,,,,,,,,,,,,,
,,,,2,2,brown,,,,,,,,,,,,,,,,,,,,
,,,,3,3,beige,,,,,,,,,,,,,,,,,,,,
,,,,4,6,white,,,,,,,,,,,,,,,,,,,,
,,,,5,8,blue,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
UGLB_CSA_Inf_GCM_West_0,1,,,4,8,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_03_Private_t,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private_t,USPR_CSA_Inf_02_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_CSA_Melee_1,SFX_Inf_Prone_1,USPR_CSA_Inf_01_Officer,GUI_CS_LVL6_Inf,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_CSA_Inf_GCM_West_1,1,,,4,8,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_02_NCO,USPR_CSA_Inf_03_Private_t,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private_t,USPR_CSA_Inf_02_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_CSA_Melee_1,SFX_Inf_Prone_2,USPR_CSA_Inf_01_Officer,GUI_CS_LVL6_Inf,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_CSA_Inf_GCM_West_2,1,,,4,8,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_06_NCO,USPR_CSA_Inf_03_Private_t,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private_s,USPR_CSA_Inf_01_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_CSA_Melee_1,SFX_Inf_Prone_3,USPR_CSA_Inf_01_Officer,GUI_CS_LVL6_Inf,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_CSA_Inf_GCM_West_3,1,,,4,8,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_01_Private_s,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private_s,USPR_CSA_Inf_01_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_CSA_Melee_1,SFX_Inf_Prone_1,USPR_CSA_Inf_01_Officer,GUI_CS_LVL6_Inf,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_CSA_Inf_GCM_West_4,1,,,4,8,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_02_Private_s,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private_s,USPR_CSA_Inf_02_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_CSA_Melee_1,SFX_Inf_Prone_2,USPR_CSA_Inf_01_Officer,GUI_CS_LVL6_Inf,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_CSA_Inf_GCM_West_5,1,,,4,8,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_01_Private_s,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private_s,USPR_CSA_Inf_02_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_CSA_Melee_1,SFX_Inf_Prone_3,USPR_CSA_Inf_01_Officer,GUI_CS_LVL6_Inf,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_CSA_Inf_GCM_West_6,1,,,4,8,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_03_Private_t,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private_s,USPR_CSA_Inf_03_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_CSA_Melee_1,SFX_Inf_Prone_1,USPR_CSA_Inf_01_Officer,GUI_CS_LVL6_Inf,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_CSA_Inf_GCM_West_7,1,,,4,8,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_02_NCO,USPR_CSA_Inf_01_Private_s,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private_s,USPR_CSA_Inf_03_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_CSA_Melee_1,SFX_Inf_Prone_2,USPR_CSA_Inf_01_Officer,GUI_CS_LVL6_Inf,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_CSA_Inf_GCM_West_8,1,,,4,8,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_02_Private_s,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private_s,USPR_CSA_Inf_06_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_CSA_Melee_1,SFX_Inf_Prone_3,USPR_CSA_Inf_01_Officer,GUI_CS_LVL6_Inf,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_CSA_Inf_GCM_West_9,1,,,4,8,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_02_NCO,USPR_CSA_Inf_01_Private_s,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private_s,USPR_CSA_Inf_01_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_CSA_Melee_1,SFX_Inf_Prone_1,USPR_CSA_Inf_01_Officer,GUI_CS_LVL6_Inf,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_CSA_Inf_GCM_West_Vet_0,1,,,4,8,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_03_Private_t,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private_t,USPR_CSA_Inf_02_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_CSA_Melee_1,SFX_Inf_Prone_2,USPR_CSA_Inf_01_Officer,GUI_CS_LVL6_Inf,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_CSA_Inf_GCM_West_Vet_1,1,,,4,8,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_02_NCO,USPR_CSA_Inf_03_Private_t,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private_t,USPR_CSA_Inf_02_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_CSA_Melee_1,SFX_Inf_Prone_1,USPR_CSA_Inf_01_Officer,GUI_CS_LVL6_Inf,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_CSA_Inf_GCM_West_Vet_2,1,,,4,8,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_06_NCO,USPR_CSA_Inf_01_Private_s,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private_s,USPR_CSA_Inf_01_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_CSA_Melee_1,SFX_Inf_Prone_2,USPR_CSA_Inf_01_Officer,GUI_CS_LVL6_Inf,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_CSA_Inf_GCM_West_Vet_3,1,,,4,8,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_06_Private_s,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private_s,USPR_CSA_Inf_01_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_CSA_Melee_1,SFX_Inf_Prone_3,USPR_CSA_Inf_01_Officer,GUI_CS_LVL6_Inf,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_CSA_Inf_GCM_West_Vet_4,1,,,4,8,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_03_Private_t,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private_s,USPR_CSA_Inf_02_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_CSA_Melee_1,SFX_Inf_Prone_1,USPR_CSA_Inf_01_Officer,GUI_CS_LVL6_Inf,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_CSA_Inf_GCM_West_Vet_5,1,,,4,8,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_01_Private_s,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private_s,USPR_CSA_Inf_02_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_CSA_Melee_1,SFX_Inf_Prone_2,USPR_CSA_Inf_01_Officer,GUI_CS_LVL6_Inf,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_CSA_Inf_GCM_West_Vet_6,1,,,4,8,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_03_Private_t,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private_s,USPR_CSA_Inf_03_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_CSA_Melee_1,SFX_Inf_Prone_3,USPR_CSA_Inf_01_Officer,GUI_CS_LVL6_Inf,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_CSA_Inf_GCM_West_Vet_7,1,,,4,8,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_02_NCO,USPR_CSA_Inf_01_Private_s,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private_s,USPR_CSA_Inf_03_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_CSA_Melee_1,SFX_Inf_Prone_1,USPR_CSA_Inf_01_Officer,GUI_CS_LVL6_Inf,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_CSA_Inf_GCM_West_Vet_8,1,,,4,8,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_01_Private_s,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private_s,USPR_CSA_Inf_06_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_CSA_Melee_1,SFX_Inf_Prone_2,USPR_CSA_Inf_01_Officer,GUI_CS_LVL6_Inf,GUI_CS_LVL6_Friendly,GUI_CS_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
