UI Name,Graphic Name,loc x (across),loc y (down),Sticky (0/1/2),Button Sound,Unit Sound,Normal (across),Normal (down),Highlighted (across),Highlighted (down),gray (across),gray (down),Active (across),Active (down),mod left,mod top,mod right,mod bottom,func,func2,text,Special,Show Condition,Highlight Condition,,,,,,
GUI_LVL3_Art,GFX_BS_Buttons,967,711,,SFX_UI_RiseUp,,2,6,2,8,2,6,2,7,0,0,0,0,walk,,Leader Normal Speed (Walk),,#regstate == 5,#regstate == 5,,,,,,
GUI_LVL3_Art,GFX_BS_Buttons,939,739,,SFX_UI_GotoSel,,4,6,4,8,4,6,4,7,0,0,0,0,gotosel,,Go to the Selected Unit,,,,,,,,,
GUI_LVL3_Art,GFX_BS_Buttons,967,739,,SFX_UI_RiseUp,,1,6,1,8,1,6,1,7,0,0,0,0,stop,,Leader Halt,,,#regstate == 1,,,,,,
GUI_LVL3_Art,GFX_BS_Buttons,995,739,,,,3,6,3,8,3,6,3,7,0,0,0,0,forcepath,,Leader Use Roads,,,#useroads == 1,,,,,,
GUI_LVL3_Art,GFX_BS_Buttons,939,655,,,,9,6,9,8,9,6,9,7,0,0,0,0,attach,,Attach Reserves,,,#attached == 1,,,,,,
GUI_LVL3_Art,GFX_BS_Buttons,967,655,,SFX_UI_Click,,10,6,10,8,10,6,10,7,0,0,0,0,detach,,Detach Reserves,,,#attached == 0,,,,,,
GUI_LVL3_Art,GFX_BS_Buttons,995,655,,,,13,6,13,8,13,6,13,7,0,0,0,0,Aresupply,,Re-Supply,,,,,,,,,
GUI_LVL3_Art,GFX_BS_Buttons,939,683,,,,11,6,11,8,11,6,11,7,0,0,0,0,joinbrig,,Attach Brigade,,,,,,,,,
GUI_LVL3_Art,GFX_BS_Buttons,967,683,,SFX_UI_Click,,12,6,12,8,12,6,12,7,0,0,0,0,splitbrig:1,,Detach Brigade,,,,,,,,,
GUI_LVL3_Art,GFX_BS_Buttons,995,683,,SFX_UI_Messenger,,6,6,6,8,6,6,6,7,0,0,0,0,loadscreen:SendCourier,,Send Message,,,,,,,,,
GUI_LVL3_Art,GFX_BS_Buttons,790,711,,,,4,9,4,11,4,9,4,10,0,0,0,0,Aorders:blitz,,All out Attack,,,#ordernum == 6,,,,,,
GUI_LVL3_Art,GFX_BS_Buttons,818,711,,SFX_UI_Click,,5,9,5,11,5,9,5,10,0,0,0,0,Aorders:attack,,Attack,,,#ordernum == 5,,,,,,
GUI_LVL3_Art,GFX_BS_Buttons,846,711,,SFX_UI_Click,,6,9,6,11,6,9,6,10,0,0,0,0,Aorders:probe,,Probe,,,#ordernum == 4,,,,,,
GUI_LVL3_Art,GFX_BS_Buttons,874,711,,,,7,9,7,11,7,9,7,10,0,0,0,0,Aorders:none,,None,,,#ordernum == 0,,,,,,
GUI_LVL3_Art,GFX_BS_Buttons,995,711,,SFX_UI_Messenger,,7,6,7,8,7,6,7,7,0,0,0,0,loadscreen:MessageLog,,Read Messages,,,,,,,,,
GUI_LVL3_Art,GFX_BS_Buttons,790,739,,SFX_UI_Click,,8,9,8,11,8,9,8,10,0,0,0,0,Aorders:defend,,Defend,,,#ordernum == 3,,,,,,
GUI_LVL3_Art,GFX_BS_Buttons,818,739,,SFX_UI_Click,,9,9,9,11,9,9,9,10,0,0,0,0,Aorders:hold,,Hold,,,#ordernum == 2,,,,,,
GUI_LVL3_Art,GFX_BS_Buttons,846,739,,,,10,9,10,11,10,9,10,10,0,0,0,0,Aorders:stay,,Hold to the Last,,,#ordernum == 1,,,,,,
GUI_LVL3_Art,GFX_BS_Buttons,995,739,,,,5,6,5,8,5,6,5,7,0,0,0,0,loadscreen:Objectives:-1,,Objectives,,,,,,,,,
GUI_LVL3_Art,GFX_Status_Icons,393,656,,,,13,0,13,0,0,0,13,0,0,0,0,0,,,Follow Mode,,#followmode == 1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_CS_LVL3_Art,INHERIT,GUI_LVL3_Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_CS_LVL3_Art,GFX_Flags,0,652,,,,0,1,0,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,
GUI_CS_LVL3_Art,GFX_CS_Portraits_LVL3,252,652,,,,0,0,-1,-1,,,0,0,0,0,0,0,,,Ability: $initcur - Command: $leadcur - Control: $loycur - Leadership: $abilcur,normalload,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_US_LVL3_Art,INHERIT,GUI_LVL3_Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_US_LVL3_Art,GFX_Flags,0,652,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
GUI_US_LVL3_Art,GFX_US_Portraits_LVL3,252,652,,,,0,0,-1,-1,,,0,0,0,0,0,0,,,Ability: $initcur - Command: $leadcur - Control: $loycur - Leadership: $abilcur,normalload,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_Wagon,GFX_MS_Background,343,652,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_Wagon,GFX_MS_Buttons,521,654,,SFX_UI_Click,,-1,-1,0,0,-1,-1,0,0,0,0,0,0,loadscreen:InGameMenu,,Menu,,,,,,,,,
GUI_Wagon,GFX_MS_Buttons,549,654,,SFX_UI_Map,,-1,-1,1,0,-1,-1,1,0,0,0,0,0,loadscreen:Map,,Map,,,,,,,,,
GUI_Wagon,GFX_MS_Buttons,577,654,,SFX_UI_Messenger,,-1,-1,2,0,-1,-1,2,0,0,0,0,0,goto,,Go To Me,,,,,,,,,
GUI_Wagon,GFX_MS_Buttons,605,654,,SFX_UI_Sword,,-1,-1,3,0,-1,-1,3,0,0,0,0,0,loadscreen:OOB:-1,,Order of Battle,,,,,,,,,
GUI_Wagon,GFX_Bars,526,723,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
GUI_Wagon,GFX_Bars,526,751,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
GUI_Wagon,GFX_BS_AmmoWBackground,711,652,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
GUI_Wagon,GFX_BS_Buttons,713,697,,SFX_UI_Click,,12,12,14,12,12,12,12,12,0,0,0,0,rankprev,,OOB Back,,,,,,,,,
GUI_Wagon,GFX_BS_Buttons,759,697,,SFX_UI_Click,,11,12,13,12,11,12,11,12,0,0,0,0,ranknext,,OOB Forward,,,,,,,,,
GUI_Wagon,GFX_BS_Buttons,736,684,,SFX_UI_Click,,14,13,14,14,14,13,14,13,0,0,0,0,rankup,,OOB Up,,,,,,,,,
GUI_Wagon,GFX_BS_Buttons,712,739,,SFX_UI_Click,,7,15,7,17,7,15,7,16,0,0,0,0,camfollow,,Follow - 2 Clicks Rotate 3 Release,,,,,,,,,
GUI_Wagon,GFX_BS_Buttons,737,739,,SFX_UI_Click,,15,16,15,17,15,16,15,16,0,0,0,0,Mmoveto,,Command Map,,,,,,,,,
GUI_Wagon,GFX_BS_Buttons,762,739,,SFX_UI_Click,,4,15,4,17,4,15,4,16,0,0,0,0,zoom,,Zoom,,,,,,,,,
GUI_Wagon,GFX_BS_Buttons,790,655,,SFX_UI_WheelLeft,,0,0,0,2,0,0,0,1,0,0,0,0,wheelleft,,Wheel Left,,,,,,,,,
GUI_Wagon,GFX_BS_Buttons,818,655,,SFX_UI_WheelRight,,1,0,1,2,1,0,1,1,0,0,0,0,wheelright,,Wheel Right,,,,,,,,,
GUI_Wagon,GFX_BS_Buttons,790,683,,,,11,0,11,2,11,0,11,1,0,0,0,0,stop,,Halt,,,#regstate == 1,,,,,,
GUI_Wagon,GFX_BS_Buttons,818,683,,SFX_UI_RiseUp,,12,0,12,2,12,0,12,1,0,0,0,0,run,,Double Quick (Gallop),,#regstate != 5,,,,,,,
GUI_Wagon,GFX_BS_Buttons,818,683,,SFX_UI_RiseUp,,12,0,12,2,12,0,12,1,0,0,0,0,walk,,Normal Speed (Walk),,#regstate == 5,#regstate == 5,,,,,,
GUI_Wagon,GFX_BS_Buttons,818,711,,,,0,6,0,8,0,6,0,7,0,0,0,0,takecommand,,Take Charge from AI,,,#takecomm == 1,,,,,,
GUI_Wagon,GFX_BS_Buttons,790,739,,,,3,9,3,11,3,9,3,10,0,0,0,0,retreat,,Retreat,,,#regstate == 10,,,,,,
GUI_Wagon,GFX_BS_Buttons,818,739,,SFX_UI_GotoSel,,4,6,4,8,4,6,4,7,0,0,0,0,gotosel,,Go to the Selected Unit,,,,,,,,,
GUI_Wagon,GFX_BS_Buttons,846,655,,,,13,0,13,2,13,0,13,1,0,0,0,0,forcepath,,Use Roads,,,#useroads == 1,,,,,,
GUI_Wagon,GFX_BS_Buttons,846,683,,SFX_UI_Messenger,,6,6,6,8,6,6,6,7,0,0,0,0,loadscreen:SendCourier,,Send Message,,,,,,,,,
GUI_Wagon,GFX_BS_Buttons,846,711,,SFX_UI_Messenger,,7,6,7,8,7,6,7,7,0,0,0,0,loadscreen:MessageLog,,Read Messages,,,,,,,,,
GUI_Wagon,GFX_Ammo,521,683,,,,1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,
GUI_Wagon,GFX_Status_Icons,393,656,,,,13,0,13,0,0,0,13,0,0,0,0,0,,,Follow Mode,,#followmode == 1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_CS_Wagon,INHERIT,GUI_Wagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_CS_Wagon,GFX_Flags,0,652,,,,0,1,0,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_US_Wagon,INHERIT,GUI_Wagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_US_Wagon,GFX_Flags,0,652,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_CS_Friendly,GFX_MS_Friendly_Background,343,652,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_CS_Friendly,GFX_MS_Buttons,521,654,,SFX_UI_Click,,-1,-1,0,0,-1,-1,0,0,0,0,0,0,loadscreen:InGameMenu,,Menu,,,,,,,,,
GUI_CS_Friendly,GFX_MS_Buttons,549,654,,SFX_UI_Map,,-1,-1,1,0,-1,-1,1,0,0,0,0,0,loadscreen:Map,,Map,,,,,,,,,
GUI_CS_Friendly,GFX_MS_Buttons,577,654,,SFX_UI_Messenger,,-1,-1,2,0,-1,-1,2,0,0,0,0,0,goto,,Go To Me,,,,,,,,,
GUI_CS_Friendly,GFX_MS_Buttons,605,654,,SFX_UI_Sword,,-1,-1,3,0,-1,-1,3,0,0,0,0,0,loadscreen:OOB:-1,,Order of Battle,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_CS_Friendly,GFX_BS_FBackground,711,652,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
GUI_CS_Friendly,GFX_Flags,0,652,,,,0,1,0,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,
GUI_CS_Friendly,GFX_BS_Buttons,790,655,,SFX_UI_Messenger,,6,6,6,8,6,6,6,7,0,0,0,0,loadscreen:SendCourier,,Send Message,,,,,,,,,
GUI_CS_Friendly,GFX_BS_Buttons,790,683,,SFX_UI_Messenger,,7,6,7,8,7,6,7,7,0,0,0,0,loadscreen:MessageLog,,Read Messages,,,,,,,,,
GUI_CS_Friendly,GFX_BS_Buttons,790,711,,SFX_UI_GotoSel,,4,6,4,8,4,6,4,7,0,0,0,0,gotosel,,Go to the Selected Unit,,,,,,,,,
GUI_CS_Friendly,GFX_BS_Buttons,790,739,,SFX_UI_Click,,4,15,4,17,4,15,4,16,0,0,0,0,zoom,,Zoom,,,,,,,,,
GUI_CS_Friendly,GFX_Status_Icons,393,722,,,,14,0,14,0,0,0,5,0,0,0,0,0,,,TCed,,#takecomm == 1,,,,,,,
GUI_CS_Friendly,GFX_Bars,526,723,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,Morale: $morale -- #moralecur,progbar:#moralemin-#moralecur-#moralemax,,,,,,,,
GUI_CS_Friendly,GFX_Bars,526,751,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,Fatigue: $fatigue -- #fatiguecur,progbar:#fatiguemin-#fatiguecur-#fatiguemax,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_CS_LVL6_Friendly,INHERIT,GUI_CS_Friendly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_CS_LVL6_Friendly,GFX_BS_Buttons,713,697,,SFX_UI_Click,,12,12,14,12,12,12,12,12,0,0,0,0,rankprev,,OOB Back,,,,,,,,,
GUI_CS_LVL6_Friendly,GFX_BS_Buttons,759,697,,SFX_UI_Click,,11,12,13,12,11,12,11,12,0,0,0,0,ranknext,,OOB Forward,,,,,,,,,
GUI_CS_LVL6_Friendly,GFX_BS_Buttons,736,684,,SFX_UI_Click,,14,13,14,14,14,13,14,13,0,0,0,0,rankup,,OOB Up,,,,,,,,,
GUI_US_LVL6_Friendly,GFX_Status_Icons,349,656,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,Visible to Enemy,,#visible == 1,,,,,,,
GUI_US_LVL6_Friendly,GFX_Status_Icons,371,656,,,,6,0,6,0,0,0,6,0,0,0,0,0,,,Commander Bonus,,#leaderbonus != 0,,,,,,,
GUI_US_LVL6_Friendly,GFX_Status_Icons,393,656,,,,13,0,13,0,0,0,13,0,0,0,0,0,,,Follow Mode,,#followmode == 1,,,,,,,
GUI_US_LVL6_Friendly,GFX_Status_Icons,349,678,,,,10,0,10,0,0,0,10,0,0,0,0,0,,,Support Bonus,,,,,,,,,
GUI_US_LVL6_Friendly,GFX_Status_Icons,371,678,,,,11,0,11,0,0,0,11,0,0,0,0,0,,,Defensive Terrain Bonus from $terrain,,#defbonus == 1,,,,,,,
GUI_US_LVL6_Friendly,GFX_Status_Icons,393,678,,,,12,0,12,0,0,0,12,0,0,0,0,0,,,High Ground Bonus,,#elevbonus==1,,,,,,,
GUI_US_LVL6_Friendly,GFX_Status_Icons,349,700,,,,3,0,3,0,0,0,3,0,0,0,0,0,,,Unit Resting,,#resting == 1,,,,,,,
GUI_US_LVL6_Friendly,GFX_Status_Icons,371,700,,,,4,0,4,0,0,0,4,0,0,0,0,0,,,Unit Rallying,,#rallying == 1,,,,,,,
GUI_US_LVL6_Friendly,GFX_Status_Icons,393,700,,,,9,0,9,0,0,0,9,0,0,0,0,0,,,Getting Flanked,,#flankfire == 1,,,,,,,
GUI_US_LVL6_Friendly,GFX_Status_Icons,349,722,,,,1,0,1,0,0,0,1,0,0,0,0,0,,,A Target is Blocked,,#blocked != 0,,,,,,,
GUI_US_LVL6_Friendly,GFX_Status_Icons,371,722,,,,5,0,5,0,0,0,5,0,0,0,0,0,,,Shooting Over,,#shootover == 1,,,,,,,
GUI_US_LVL6_Friendly,GFX_Status_Icons,393,722,,,,14,0,14,0,0,0,5,0,0,0,0,0,,,TCed,,#takecomm == 1,,,,,,,
GUI_CS_LVL5_Friendly,INHERIT,GUI_CS_Friendly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_CS_LVL5_Friendly,GFX_CS_Portraits_LVL5,252,652,,,,0,0,-1,-1,,,0,0,0,0,0,0,,,,normalload,,,,,,,,
GUI_CS_LVL5_Friendly,GFX_BS_Buttons,713,697,,SFX_UI_Click,,12,12,14,12,12,12,12,12,0,0,0,0,rankprev,,OOB Back,,,,,,,,,
GUI_CS_LVL5_Friendly,GFX_BS_Buttons,759,697,,SFX_UI_Click,,11,12,13,12,11,12,11,12,0,0,0,0,ranknext,,OOB Forward,,,,,,,,,
GUI_CS_LVL5_Friendly,GFX_BS_Buttons,736,684,,SFX_UI_Click,,14,13,14,14,14,13,14,13,0,0,0,0,rankup,,OOB Up,,,,,,,,,
GUI_CS_LVL5_Friendly,GFX_BS_Buttons,736,710,,SFX_UI_Click,,14,15,14,16,14,15,14,15,0,0,0,0,rankdown,,OOB Down,,,,,,,,,
GUI_CS_LVL4_Friendly,INHERIT,GUI_CS_Friendly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_CS_LVL4_Friendly,GFX_CS_Portraits_LVL4,252,652,,,,0,0,-1,-1,,,0,0,0,0,0,0,,,,normalload,,,,,,,,
GUI_CS_LVL4_Friendly,GFX_BS_Buttons,713,697,,SFX_UI_Click,,12,12,14,12,12,12,12,12,0,0,0,0,rankprev,,OOB Back,,,,,,,,,
GUI_CS_LVL4_Friendly,GFX_BS_Buttons,759,697,,SFX_UI_Click,,11,12,13,12,11,12,11,12,0,0,0,0,ranknext,,OOB Forward,,,,,,,,,
GUI_CS_LVL4_Friendly,GFX_BS_Buttons,736,684,,SFX_UI_Click,,14,13,14,14,14,13,14,13,0,0,0,0,rankup,,OOB Up,,,,,,,,,
GUI_CS_LVL4_Friendly,GFX_BS_Buttons,736,710,,SFX_UI_Click,,14,15,14,16,14,15,14,15,0,0,0,0,rankdown,,OOB Down,,,,,,,,,
GUI_CS_LVL3_Friendly,INHERIT,GUI_CS_Friendly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_CS_LVL3_Friendly,GFX_CS_Portraits_LVL3,252,652,,,,0,0,-1,-1,,,0,0,0,0,0,0,,,,normalload,,,,,,,,
GUI_CS_LVL3_Friendly,GFX_BS_Buttons,713,697,,SFX_UI_Click,,12,12,14,12,12,12,12,12,0,0,0,0,rankprev,,OOB Back,,,,,,,,,
GUI_CS_LVL3_Friendly,GFX_BS_Buttons,759,697,,SFX_UI_Click,,11,12,13,12,11,12,11,12,0,0,0,0,ranknext,,OOB Forward,,,,,,,,,
GUI_CS_LVL3_Friendly,GFX_BS_Buttons,736,684,,SFX_UI_Click,,14,13,14,14,14,13,14,13,0,0,0,0,rankup,,OOB Up,,,,,,,,,
GUI_CS_LVL3_Friendly,GFX_BS_Buttons,736,710,,SFX_UI_Click,,14,15,14,16,14,15,14,15,0,0,0,0,rankdown,,OOB Down,,,,,,,,,
GUI_CS_LVL2_Friendly,INHERIT,GUI_CS_Friendly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_CS_LVL2_Friendly,GFX_CS_Portraits_LVL2,252,652,,,,0,0,-1,-1,,,0,0,0,0,0,0,,,,normalload,,,,,,,,
GUI_CS_LVL2_Friendly,GFX_BS_Buttons,713,697,,SFX_UI_Click,,12,12,14,12,12,12,12,12,0,0,0,0,rankprev,,OOB Back,,,,,,,,,
GUI_CS_LVL2_Friendly,GFX_BS_Buttons,759,697,,SFX_UI_Click,,11,12,13,12,11,12,11,12,0,0,0,0,ranknext,,OOB Forward,,,,,,,,,
GUI_CS_LVL2_Friendly,GFX_BS_Buttons,736,684,,SFX_UI_Click,,14,13,14,14,14,13,14,13,0,0,0,0,rankup,,OOB Up,,,,,,,,,
GUI_CS_LVL2_Friendly,GFX_BS_Buttons,736,710,,SFX_UI_Click,,14,15,14,16,14,15,14,15,0,0,0,0,rankdown,,OOB Down,,,,,,,,,
GUI_CS_LVL1_Friendly,INHERIT,GUI_CS_Friendly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_CS_LVL1_Friendly,GFX_CS_Portraits_LVL1,252,652,,,,0,0,-1,-1,,,0,0,0,0,0,0,,,,normalload,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_CS_LVL1_Friendly,GFX_BS_Buttons,736,710,,SFX_UI_Click,,14,15,14,16,14,15,14,15,0,0,0,0,rankdown,,OOB Down,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_US_Friendly,GFX_MS_Friendly_Background,343,652,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_US_Friendly,GFX_MS_Buttons,521,654,,SFX_UI_Click,,-1,-1,0,0,-1,-1,0,0,0,0,0,0,loadscreen:InGameMenu,,Menu,,,,,,,,,
GUI_US_Friendly,GFX_MS_Buttons,549,654,,SFX_UI_Map,,-1,-1,1,0,-1,-1,1,0,0,0,0,0,loadscreen:Map,,Map,,,,,,,,,
GUI_US_Friendly,GFX_MS_Buttons,577,654,,SFX_UI_Messenger,,-1,-1,2,0,-1,-1,2,0,0,0,0,0,goto,,Go To Me,,,,,,,,,
GUI_US_Friendly,GFX_MS_Buttons,605,654,,SFX_UI_Sword,,-1,-1,3,0,-1,-1,3,0,0,0,0,0,loadscreen:OOB:-1,,Order of Battle,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_US_Friendly,GFX_BS_FBackground,711,652,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
GUI_US_Friendly,GFX_Flags,0,652,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
GUI_US_Friendly,GFX_BS_Buttons,790,655,,SFX_UI_Messenger,,6,6,6,8,6,6,6,7,0,0,0,0,loadscreen:SendCourier,,Send Message,,,,,,,,,
GUI_US_Friendly,GFX_BS_Buttons,790,683,,SFX_UI_Messenger,,7,6,7,8,7,6,7,7,0,0,0,0,loadscreen:MessageLog,,Read Messages,,,,,,,,,
GUI_US_Friendly,GFX_BS_Buttons,790,711,,SFX_UI_GotoSel,,4,6,4,8,4,6,4,7,0,0,0,0,gotosel,,Go to the Selected Unit,,,,,,,,,
GUI_US_Friendly,GFX_BS_Buttons,790,739,,SFX_UI_Click,,4,15,4,17,4,15,4,16,0,0,0,0,zoom,,Zoom,,,,,,,,,
GUI_US_Friendly,GFX_Status_Icons,393,722,,,,14,0,14,0,0,0,5,0,0,0,0,0,,,TCed,,#takecomm == 1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_US_LVL6_Friendly,INHERIT,GUI_US_Friendly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_US_LVL6_Friendly,GFX_BS_Buttons,713,697,,SFX_UI_Click,,12,12,14,12,12,12,12,12,0,0,0,0,rankprev,,OOB Back,,,,,,,,,
GUI_US_LVL6_Friendly,GFX_BS_Buttons,759,697,,SFX_UI_Click,,11,12,13,12,11,12,11,12,0,0,0,0,ranknext,,OOB Forward,,,,,,,,,
GUI_US_LVL6_Friendly,GFX_BS_Buttons,736,684,,SFX_UI_Click,,14,13,14,14,14,13,14,13,0,0,0,0,rankup,,OOB Up,,,,,,,,,
GUI_US_LVL6_Friendly,GFX_Status_Icons,349,656,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,Visible to Enemy,,#visible == 1,,,,,,,
GUI_US_LVL6_Friendly,GFX_Status_Icons,371,656,,,,6,0,6,0,0,0,6,0,0,0,0,0,,,Commander Bonus,,#leaderbonus != 0,,,,,,,
GUI_US_LVL6_Friendly,GFX_Status_Icons,393,656,,,,13,0,13,0,0,0,13,0,0,0,0,0,,,Follow Mode,,#followmode == 1,,,,,,,
GUI_US_LVL6_Friendly,GFX_Status_Icons,349,678,,,,10,0,10,0,0,0,10,0,0,0,0,0,,,Support Bonus,,,,,,,,,
GUI_US_LVL6_Friendly,GFX_Status_Icons,371,678,,,,11,0,11,0,0,0,11,0,0,0,0,0,,,Defensive Terrain Bonus from $terrain from $terrain,,#defbonus == 1,,,,,,,
GUI_US_LVL6_Friendly,GFX_Status_Icons,393,678,,,,12,0,12,0,0,0,12,0,0,0,0,0,,,High Ground Bonus,,#elevbonus==1,,,,,,,
GUI_US_LVL6_Friendly,GFX_Status_Icons,349,700,,,,3,0,3,0,0,0,3,0,0,0,0,0,,,Unit Resting,,#resting == 1,,,,,,,
GUI_US_LVL6_Friendly,GFX_Status_Icons,371,700,,,,4,0,4,0,0,0,4,0,0,0,0,0,,,Unit Rallying,,#rallying == 1,,,,,,,
GUI_US_LVL6_Friendly,GFX_Status_Icons,393,700,,,,9,0,9,0,0,0,9,0,0,0,0,0,,,Getting Flanked,,#flankfire == 1,,,,,,,
GUI_US_LVL6_Friendly,GFX_Status_Icons,349,722,,,,1,0,1,0,0,0,1,0,0,0,0,0,,,A Target is Blocked,,#blocked != 0,,,,,,,
GUI_US_LVL6_Friendly,GFX_Status_Icons,371,722,,,,5,0,5,0,0,0,5,0,0,0,0,0,,,Shooting Over,,#shootover == 1,,,,,,,
GUI_US_LVL6_Friendly,GFX_Status_Icons,393,722,,,,14,0,14,0,0,0,5,0,0,0,0,0,,,TCed,,#takecomm == 1,,,,,,,
GUI_US_LVL5_Friendly,INHERIT,GUI_US_Friendly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_US_LVL5_Friendly,GFX_US_Portraits_LVL5,252,652,,,,0,0,-1,-1,,,0,0,0,0,0,0,,,,normalload,,,,,,,,
GUI_US_LVL5_Friendly,GFX_BS_Buttons,713,697,,SFX_UI_Click,,12,12,14,12,12,12,12,12,0,0,0,0,rankprev,,OOB Back,,,,,,,,,
GUI_US_LVL5_Friendly,GFX_BS_Buttons,759,697,,SFX_UI_Click,,11,12,13,12,11,12,11,12,0,0,0,0,ranknext,,OOB Forward,,,,,,,,,
GUI_US_LVL5_Friendly,GFX_BS_Buttons,736,684,,SFX_UI_Click,,14,13,14,14,14,13,14,13,0,0,0,0,rankup,,OOB Up,,,,,,,,,
GUI_US_LVL5_Friendly,GFX_BS_Buttons,736,710,,SFX_UI_Click,,14,15,14,16,14,15,14,15,0,0,0,0,rankdown,,OOB Down,,,,,,,,,
GUI_US_LVL4_Friendly,INHERIT,GUI_US_Friendly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_US_LVL4_Friendly,GFX_US_Portraits_LVL4,252,652,,,,0,0,-1,-1,,,0,0,0,0,0,0,,,,normalload,,,,,,,,
GUI_US_LVL4_Friendly,GFX_BS_Buttons,713,697,,SFX_UI_Click,,12,12,14,12,12,12,12,12,0,0,0,0,rankprev,,OOB Back,,,,,,,,,
GUI_US_LVL4_Friendly,GFX_BS_Buttons,759,697,,SFX_UI_Click,,11,12,13,12,11,12,11,12,0,0,0,0,ranknext,,OOB Forward,,,,,,,,,
GUI_US_LVL4_Friendly,GFX_BS_Buttons,736,684,,SFX_UI_Click,,14,13,14,14,14,13,14,13,0,0,0,0,rankup,,OOB Up,,,,,,,,,
GUI_US_LVL4_Friendly,GFX_BS_Buttons,736,710,,SFX_UI_Click,,14,15,14,16,14,15,14,15,0,0,0,0,rankdown,,OOB Down,,,,,,,,,
GUI_US_LVL3_Friendly,INHERIT,GUI_US_Friendly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_US_LVL3_Friendly,GFX_US_Portraits_LVL3,252,652,,,,0,0,-1,-1,,,0,0,0,0,0,0,,,,normalload,,,,,,,,
GUI_US_LVL3_Friendly,GFX_BS_Buttons,713,697,,SFX_UI_Click,,12,12,14,12,12,12,12,12,0,0,0,0,rankprev,,OOB Back,,,,,,,,,
GUI_US_LVL3_Friendly,GFX_BS_Buttons,759,697,,SFX_UI_Click,,11,12,13,12,11,12,11,12,0,0,0,0,ranknext,,OOB Forward,,,,,,,,,
